Market,Side,Date,Position Size,Payment,Rate
CRCL,short,2026-08-22 13:00:00,0.228,0.002321,0.000116%
VVV,long,2026-08-22 13:00:00,1.236,-0.003299,0.000161%
COIN,long,2026-08-22 12:00:00,0.1072,0.000338,-0.000017%
CRCL,long,2026-08-22 11:00:00,0.229,0.001361,-0.000068%
COIN,long,2026-08-22 11:00:00,0.1072,0.003300,-0.000166%
COIN,long,2026-08-22 10:00:00,0.1072,0.000979,-0.000049%
CRCL,long,2026-08-22 09:00:00,0.228,0.007938,-0.000397%
VVV,long,2026-08-22 09:00:00,1.297,-0.001777,0.000087%
VVV,long,2026-08-22 08:00:00,1.297,-0.000827,0.000041%
CRCL,long,2026-08-22 07:00:00,0.226,0.001978,-0.000099%
CRCL,long,2026-08-22 06:00:00,0.226,0.025438,-0.001270%
SOL,long,2026-08-22 05:00:00,0.208,-0.000247,0.000012%
SOL,long,2026-08-22 04:00:00,0.208,-0.000241,0.000012%
SOL,long,2026-08-22 01:00:00,0.213,-0.000239,0.000012%
ZEC,short,2026-08-22 00:00:00,0.0270,0.002995,0.000151%
ZEC,short,2026-08-21 23:00:00,0.0270,0.003309,0.000167%
BTC,short,2026-08-21 21:00:00,0.00026,0.000242,0.000012%
SOL,long,2026-08-21 19:00:00,0.219,-0.000240,0.000012%
SOL,long,2026-08-21 18:00:00,0.218,-0.000240,0.000012%
SOL,long,2026-08-21 16:00:00,0.133,-0.000145,0.000012%
ANTHROPIC,short,2026-08-21 11:00:00,0.00694,-0.000521,-0.000040%
CASHCAT,short,2026-08-21 11:00:00,100.1,0.004508,0.000349%
