Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type,Trade ID
ANTHROPIC,Close Long,2026-08-21 14:29:17,12.853536,0.007010,1833.600000,-0.182260,0.0000,Taker,trade,27965906058
ANTHROPIC,Open Long,2026-08-21 14:27:25,13.035796,0.007010,1859.600000,-,0.0000,Taker,trade,27965651995
ANTHROPIC,Close Long,2026-08-21 14:27:16,12.835200,0.007000,1833.600000,-0.173600,0.0000,Taker,trade,27965627871
ANTHROPIC,Open Long,2026-08-21 14:21:43,13.008800,0.007000,1858.400000,-,0.0000,Taker,trade,27964794804
CASHCAT,Close Long,2026-08-21 14:21:20,12.971255,93.500000,0.138730,-0.022440,0.0000,Maker,trade,27964735394
CASHCAT,Open Long,2026-08-21 14:17:47,12.993695,93.500000,0.138970,-,0.0000,Taker,trade,27964151493
ANTHROPIC,Close Long,2026-08-21 14:17:31,12.825052,0.006980,1837.400000,-0.171708,0.0000,Taker,trade,27964113910
ANTHROPIC,Open Long,2026-08-21 14:13:38,12.996760,0.006980,1862.000000,-,0.0000,Taker,trade,27963500293
CASHCAT,Close Long,2026-08-21 13:49:44,13.145876,92.200000,0.142580,0.167804,0.0000,Taker,trade,27959691118
ANTHROPIC,Close Long,2026-08-21 13:49:41,12.867648,0.006960,1848.800000,-0.125280,0.0000,Taker,trade,27959681958
ANTHROPIC,Open Long,2026-08-21 13:23:42,12.992928,0.006960,1866.800000,-,0.0000,Taker,trade,27955160842
CASHCAT,Open Long,2026-08-21 13:23:42,12.978072,92.200000,0.140760,-,0.0000,Taker,trade,27955160733
ANTHROPIC,Close Long,2026-08-21 13:23:26,12.814752,0.006960,1841.200000,-0.171216,0.0000,Taker,trade,27955135798
CASHCAT,Close Long,2026-08-21 13:22:57,13.080064,94.400000,0.138560,0.088736,0.0000,Maker,trade,27955092645
ANTHROPIC,Open Long,2026-08-21 13:18:28,12.985968,0.006960,1865.800000,-,0.0000,Taker,trade,27954638846
CASHCAT,Open Long,2026-08-21 13:18:28,12.991328,94.400000,0.137620,-,0.0000,Taker,trade,27954638751
CASHCAT,Close Long,2026-08-21 13:18:20,12.792363,93.300000,0.137110,-0.204327,0.0000,Taker,trade,27954623706
ANTHROPIC,Close Long,2026-08-21 13:18:20,12.833164,0.006970,1841.200000,-0.161007,0.0000,Taker,trade,27954623599
CASHCAT,Open Long,2026-08-21 13:15:13,12.996690,93.300000,0.139300,-,0.0000,Taker,trade,27954293566
